Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	-0.82495695	0.13853346
-0.00300000	-0.86488068	0.20457062
-0.00200000	-0.69755781	0.27165353
-0.00100000	-0.34525713	0.32978591
0.00000000	0.06576034	0.36771038
0.00100000	0.47490159	0.37982899
0.00200000	0.75098425	0.35362327
0.00300000	0.85143948	0.29306102
0.00400000	0.75621307	0.22567052
0.00500000	0.48148376	0.16083293
0.00600000	0.08184670	0.12029404
0.00700000	-0.38425812	0.11060531
0.00800000	-0.71472073	0.12801427
0.00900000	-0.86300445	0.16981423
0.01000000	-0.79782850	0.23086861
0.01100000	-0.52663630	0.30176550
0.01200000	-0.14766856	0.35448450
0.01300000	0.28328001	0.38173598
0.01400000	0.62650716	0.37312376
0.01500000	0.82987821	0.33012426
0.01600000	0.83652192	0.26565576
0.01700000	0.64708418	0.18873031
0.01800000	0.29444513	0.13321236
0.01900000	-0.16919906	0.10719119
0.02000000	-0.55788630	0.11334276
0.02100000	-0.81634474	0.15151329
0.02200000	-0.86257380	0.20669292
0.02300000	-0.68885332	0.27030021
0.02400000	-0.35885212	0.32858637
0.02500000	0.08000123	0.37278542
0.02600000	0.47019562	0.38173598
0.02700000	0.75344485	0.35448450
0.02800000	0.85236222	0.30191928
0.02900000	0.75190699	0.23163755
0.03000000	0.47290230	0.16750738
0.03100000	0.05828617	0.11906373
0.03200000	-0.35934424	0.10131644
0.03300000	-0.72013408	0.11644931
0.03400000	-0.87512302	0.16624631
0.03500000	-0.80247295	0.24378690
0.03600000	-0.54195374	0.31102362
0.03700000	-0.12973671	0.35823697
0.03800000	0.28389516	0.37844488
0.03900000	0.63733393	0.36817175
0.04000000	0.82914001	0.32747909
0.04100000	0.82975519	0.26264149
0.04200000	0.63533467	0.19555856
0.04300000	0.27642101	0.13619587
0.04400000	-0.14367002	0.10396162
0.04500000	-0.56376106	0.10337722
0.04600000	-0.81532973	0.13853346
0.04700000	-0.86315823	0.20457062
0.04800000	-0.69601995	0.27180734
0.04900000	-0.33642963	0.33055487
0.05000000	0.07474163	0.36524975
0.05100000	0.47723916	0.37007874
0.05200000	0.75021529	0.34694883
0.05300000	0.85128570	0.29970473
0.05400000	0.75621307	0.23557456
0.05500000	0.48148376	0.16409326
0.05600000	0.08184670	0.11721826
0.05700000	-0.38425812	0.10147022
0.05800000	-0.71472073	0.11906373
0.05900000	-0.86300445	0.16750738
0.06000000	-0.79782850	0.23163755
0.06100000	-0.52663630	0.30191928
0.06200000	-0.14766856	0.35463828
0.06300000	0.28328001	0.38250491
0.06400000	0.62666094	0.37078616
0.06500000	0.83064717	0.32111222
0.06600000	0.83421504	0.25667447
0.06700000	0.63810283	0.18639271
0.06800000	0.28549460	0.13413508
0.06900000	-0.17150590	0.10811393
0.07000000	-0.55711734	0.11103593
0.07100000	-0.81619096	0.14250124
0.07200000	-0.86257380	0.19771162
0.07300000	-0.68885332	0.26799336
0.07400000	-0.35885212	0.32950911
0.07500000	0.08000123	0.37370816
0.07600000	0.47019562	0.37942913
0.07700000	0.75344485	0.34547243
0.07800000	0.85236222	0.29290724
0.07900000	0.75190699	0.22933070
0.08000000	0.47274852	0.16812254
0.08100000	0.05754798	0.11844857
0.08200000	-0.35688362	0.10380782
0.08300000	-0.71041459	0.12619956
0.08400000	-0.86847931	0.17292076
0.08500000	-0.80914742	0.23711245
0.08600000	-0.55155021	0.30124262
0.08700000	-0.13145915	0.35577634
0.08800000	0.28235728	0.37921384
0.08900000	0.62853718	0.36832553
0.09000000	0.82000494	0.32747909
0.09100000	0.82667935	0.26264149
0.09200000	0.63856423	0.19555856
0.09300000	0.28635579	0.13619587
0.09400000	-0.13699557	0.10396162
0.09500000	-0.57043552	0.10337722
0.09600000	-0.82511073	0.13853346
0.09700000	-0.86561882	0.20457062
0.09800000	-0.69525099	0.27180734
0.09900000	-0.33627585	0.33055487
0.10000000	0.07474163	0.36540353
0.10100000	0.47723916	0.37084767
0.10200000	0.75021529	0.34464198
0.10300000	0.85128570	0.29072341
0.10400000	0.75621307	0.22659326
0.10500000	0.48148376	0.16175567
0.10600000	0.08184670	0.11798720
0.10700000	-0.38425812	0.10162401
0.10800000	-0.71472073	0.11906373
0.10900000	-0.86300445	0.16750738
0.11000000	-0.79782850	0.23163755
0.11100000	-0.52663630	0.30191928
0.11200000	-0.14751476	0.35463828
0.11300000	0.28404897	0.38250491
0.11400000	0.62435406	0.37078616
0.11500000	0.82166582	0.32111222
0.11600000	0.82520300	0.25682825
0.11700000	0.63579601	0.18716167
0.11800000	0.28626353	0.13182825
0.11900000	-0.17135212	0.09910187
0.12000000	-0.55711734	0.10187007
0.12100000	-0.81619096	0.13942544
0.12200000	-0.86257380	0.20078740
0.12300000	-0.68885332	0.27712846
0.12400000	-0.35885212	0.33849040
0.12500000	0.08000123	0.37604576
0.12600000	0.47019562	0.37881398
0.12700000	0.75344485	0.34608760
0.12800000	0.85236222	0.29060039
0.12900000	0.75190699	0.22031865
0.13000000	0.47274852	0.15929502
0.13100000	0.05754798	0.11687992
0.13200000	-0.35703740	0.10223917
0.13300000	-0.71115279	0.11737204
0.13400000	-0.86614174	0.16393946
0.13500000	-0.80013531	0.23480561
0.13600000	-0.54272270	0.30201155
0.13700000	-0.12989050	0.35593012
0.13800000	0.28389516	0.37921384
0.13900000	0.63733393	0.36832553
0.14000000	0.82898623	0.32747909
0.14100000	0.82898623	0.26264149
0.14200000	0.63782603	0.19555856
0.14300000	0.28620201	0.13619587
0.14400000	-0.13699557	0.10396162
0.14500000	-0.57043552	0.10337722
0.14600000	-0.82511073	0.13853346
0.14700000	-0.86561882	0.20457062
0.14800000	-0.69525099	0.27165353
0.14900000	-0.33627585	0.32978591
0.15000000	0.07474163	0.36771038
0.15100000	0.47723916	0.37982899
0.15200000	0.75036907	0.35362327
0.15300000	0.85205460	0.29306102
0.15400000	0.75390625	0.22582431
0.15500000	0.47250247	0.16160187
0.15600000	0.07289616	0.11798720
0.15700000	-0.38659573	0.10162401
0.15800000	-0.71395177	0.11906373
0.15900000	-0.86285067	0.16750738
0.16000000	-0.79782850	0.23163755
0.16100000	-0.52663630	0.30191928
0.16200000	-0.14766856	0.35463828
0.16300000	0.28328001	0.38250491
0.16400000	0.62666094	0.37078616
0.16500000	0.83064717	0.32111222
0.16600000	0.83421504	0.25682825
0.16700000	0.63810283	0.18716167
0.16800000	0.28549460	0.13182825
0.16900000	-0.17150590	0.09910187
0.17000000	-0.55711734	0.10187007
0.17100000	-0.81619096	0.13942544
0.17200000	-0.86257380	0.20078740
0.17300000	-0.68885332	0.27712846
0.17400000	-0.35900590	0.33833662
0.17500000	0.07923228	0.37527683
0.17600000	0.47253323	0.38112080
0.17700000	0.76245695	0.35509965
0.17800000	0.86134350	0.29958171
0.17900000	0.75421381	0.22265625
0.18000000	0.47197959	0.15837230
0.18100000	0.05736344	0.11595719
0.18200000	-0.35688362	0.10457677
0.18300000	-0.71041459	0.12638411
0.18400000	-0.86847931	0.17292076
0.18499999	-0.80914742	0.23711245
0.18599999	-0.55170399	0.30124262
0.18699999	-0.13222811	0.35577634
0.18799999	0.28481790	0.37921384
0.18899999	0.63825667	0.36832553
0.18999999	0.82667935	0.32747909
0.19099999	0.82000494	0.26264149
0.19199999	0.62884474	0.19555856
0.19299999	0.28386441	0.13619587
0.19399999	-0.13622662	0.10396162
0.19499999	-0.57028174	0.10337722
0.19599999	-0.82511073	0.13853346
0.19699999	-0.86561882	0.20457062
0.19799999	-0.69525099	0.27165353
0.19899999	-0.33627585	0.32978591
0.19999999	0.07474163	0.36755660
0.20099999	0.47723916	0.37906003
0.20199999	0.75021529	0.35593012
0.20299999	0.85128570	0.30201155
0.20399999	0.75621307	0.23480561
0.20499999	0.48148376	0.16393946
0.20599999	0.08184670	0.11706447
0.20699999	-0.38425812	0.10070128
0.20799999	-0.71472073	0.12137057
0.20899999	-0.86300445	0.17651944
0.20999999	-0.79782850	0.24064961
0.21099999	-0.52663630	0.30422613
0.21199999	-0.14751476	0.35386935
0.21299999	0.28404897	0.38235113
0.21399999	0.62435406	0.37063238
0.21499999	0.82166582	0.32034326
0.21599999	0.82504922	0.25913510
0.21699999	0.63502705	0.19614296
0.21799999	0.28857037	0.14080955
0.21899999	-0.16240157	0.10140871
0.21999999	-0.54816681	0.10110113
0.22099999	-0.81388408	0.13927165
0.22199999	-0.86334276	0.20078740
0.22299999	-0.68900716	0.27712846
0.22399999	-0.35885212	0.33833662
0.22499999	0.08000123	0.37527683
0.22599999	0.47004184	0.38112080
0.22699999	0.75267595	0.35509965
0.22799999	0.85466903	0.29958171
0.22899999	0.76085752	0.22265625
0.22999999	0.48188362	0.15852608
0.23099999	0.06062377	0.11672613
0.23199999	-0.36011317	0.10223917
0.23299999	-0.72028792	0.11737204
0.23399999	-0.87496924	0.16393946
0.23499999	-0.80170399	0.23480561
0.23599999	-0.54426056	0.30201155
0.23699999	-0.13874876	0.35593012
0.23799999	0.27488312	0.37936762
0.23899999	0.63502705	0.36909449
0.23999999	0.82975519	0.32514149
0.24099999	0.82914001	0.25362942
0.24199999	0.63782603	0.18642348
0.24299999	0.28620201	0.13312007
0.24399999	-0.13699557	0.10706816
0.24499999	-0.57043552	0.11251231
0.24599999	-0.82495695	0.14736098
0.24699999	-0.86488068	0.20610851
0.24799999	-0.69755781	0.27319142
0.24899999	-0.34525713	0.33864421
0.24999999	0.06576034	0.37672243
0.25099999	0.47490159	0.38213584
0.25199999	0.75098425	0.35285434
0.25299999	0.85143948	0.29287648
0.25399999	0.75621307	0.22582431
0.25499999	0.48148376	0.16160187
0.25599999	0.08184670	0.11798720
0.25699999	-0.38425812	0.10162401
0.25799999	-0.71472073	0.11906373
0.25899999	-0.86300445	0.16750738
0.25999999	-0.79782850	0.23163755
0.26099999	-0.52663630	0.30191928
0.26199999	-0.14766856	0.35448450
0.26299999	0.28328001	0.38173598
0.26399999	0.62666094	0.37312376
0.26499999	0.83064717	0.33012426
0.26599999	0.83421504	0.26580954
0.26699999	0.63810283	0.18949926
0.26799999	0.28549460	0.13105930
0.26899999	-0.17150590	0.09894808
0.26999999	-0.55711734	0.10202387
0.27099999	-0.81619096	0.14019439
0.27199999	-0.86257380	0.19844981
0.27299999	-0.68885332	0.26814714
0.27399999	-0.35885212	0.32935530
0.27499999	0.08000123	0.37296999
0.27599999	0.47019562	0.38188976
0.27699999	0.75344485	0.35525346
0.27799999	0.85236222	0.29958171
0.27899999	0.75190699	0.22265625
0.27999999	0.47290230	0.15837230
0.28099999	0.05828617	0.11595719
0.28199999	-0.35934424	0.10457677
0.28299999	-0.72013408	0.12638411
0.28399999	-0.87512302	0.17292076
0.28499999	-0.80247295	0.23711245
0.28599999	-0.54195374	0.30124262
0.28699999	-0.12973671	0.35577634
0.28799999	0.28404897	0.37921384
0.28899999	0.63810283	0.36832553
0.28999999	0.82667935	0.32747909
0.29099999	0.82000494	0.26264149
0.29199999	0.62884474	0.19555856
0.29299999	0.28386441	0.13619587
0.29399999	-0.13622662	0.10396162
0.29499999	-0.57028174	0.10337722
