Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	-0.87260085	0.36764887
-0.00300000	-0.81628323	0.33556840
-0.00200000	-0.56748277	0.28005046
-0.00100000	-0.16074064	0.20918430
0.00000000	0.25599778	0.15074433
0.00100000	0.62097073	0.11318897
0.00200000	0.82415724	0.10749877
0.00300000	0.83384597	0.13475025
0.00400000	0.65421999	0.18439345
0.00500000	0.31406865	0.24920030
0.00600000	-0.10605315	0.30748647
0.00700000	-0.54493725	0.35048598
0.00800000	-0.81130046	0.36515749
0.00900000	-0.86817175	0.34937868
0.01000000	-0.71241385	0.30576402
0.01100000	-0.36432701	0.24095719
0.01200000	0.04376845	0.17651944
0.01300000	0.45171013	0.12137057
0.01400000	0.73640501	0.10100885
0.01500000	0.85380781	0.11860237
0.01600000	0.77340674	0.15944882
0.01700000	0.50953496	0.21758120
0.01800000	0.11285064	0.28174213
0.01900000	-0.35872909	0.34233513
0.02000000	-0.70091045	0.37161663
0.02100000	-0.86549580	0.36555734
0.02200000	-0.81496060	0.33040109
0.02300000	-0.55468750	0.27103838
0.02400000	-0.17845719	0.20687746
0.02500000	0.25851992	0.14751476
0.02600000	0.61054379	0.11251231
0.02700000	0.82418799	0.10706816
0.02800000	0.84221208	0.13327387
0.02900000	0.66307825	0.18719243
0.03000000	0.31935900	0.25132260
0.03100000	-0.13764149	0.31616017
0.03200000	-0.53217274	0.35992864
0.03300000	-0.80819392	0.37629184
0.03400000	-0.86918676	0.35869834
0.03500000	-0.70573944	0.30963951
0.03600000	-0.38145915	0.24843135
0.03700000	0.05739419	0.18423967
0.03800000	0.45346335	0.13475025
0.03900000	0.74760085	0.10749877
0.04000000	0.85805243	0.11318897
0.04100000	0.76787031	0.15074433
0.04200000	0.49766240	0.20918430
0.04300000	0.08913632	0.28005046
0.04400000	-0.33129305	0.33556840
0.04500000	-0.70300198	0.36764887
0.04600000	-0.87260085	0.36764887
0.04700000	-0.81628323	0.33556840
0.04800000	-0.56748277	0.28005046
0.04900000	-0.16074064	0.20918430
0.05000000	0.25599778	0.15074433
0.05100000	0.62097073	0.11318897
0.05200000	0.82431102	0.10734498
0.05300000	0.83461493	0.13398130
0.05400000	0.65191317	0.18654650
0.05500000	0.30508736	0.25744340
0.05600000	-0.11500369	0.31880537
0.05700000	-0.54724407	0.36180487
0.05800000	-0.81053150	0.37333909
0.05900000	-0.86801797	0.35153174
0.06000000	-0.71241385	0.30499509
0.06100000	-0.36432701	0.24080339
0.06200000	0.04376845	0.17667323
0.06300000	0.45171013	0.12213952
0.06400000	0.73655879	0.09870202
0.06500000	0.85457677	0.10959031
0.06600000	0.77106917	0.15043676
0.06700000	0.50055367	0.21527436
0.06800000	0.10383859	0.28251109
0.06900000	-0.36106667	0.34248891
0.07000000	-0.70014149	0.37146285
0.07100000	-0.86534202	0.36478838
0.07200000	-0.81511444	0.33270791
0.07300000	-0.55542570	0.28001967
0.07400000	-0.17615034	0.21604331
0.07500000	0.26750124	0.15059055
0.07600000	0.61967891	0.10943651
0.07700000	0.82726377	0.09793307
0.07800000	0.83913630	0.12429257
0.07900000	0.65394318	0.18485482
0.08000000	0.31040847	0.25209153
0.08100000	-0.13994832	0.31631398
0.08200000	-0.53140378	0.35992864
0.08300000	-0.80804008	0.37629184
0.08400000	-0.86918676	0.35885212
0.08500000	-0.70573944	0.31040847
0.08600000	-0.38145915	0.24612451
0.08700000	0.05739419	0.17525837
0.08800000	0.45346335	0.12561515
0.08900000	0.74760085	0.10442298
0.09000000	0.85805243	0.11626476
0.09100000	0.76787031	0.15987943
0.09200000	0.49766240	0.21816561
0.09300000	0.08913632	0.28238803
0.09400000	-0.33129305	0.33495325
0.09500000	-0.70300198	0.36826402
0.09600000	-0.87275469	0.36534202
0.09700000	-0.81705219	0.32655635
0.09800000	-0.56517595	0.27106914
0.09900000	-0.15172859	0.20684670
0.10000000	0.26482528	0.15166707
0.10100000	0.62250859	0.11411171
0.10200000	0.82572585	0.10516117
0.10300000	0.84267348	0.12576894
0.10400000	0.66317052	0.17525837
0.10500000	0.31637549	0.24612451
0.10600000	-0.10682210	0.31040847
0.10700000	-0.54509103	0.35885212
0.10800000	-0.81130046	0.37644562
0.10900000	-0.86817175	0.36069760
0.11000000	-0.71241385	0.31397638
0.11100000	-0.36432701	0.24311024
0.11200000	0.04376845	0.17590427
0.11300000	0.45171013	0.12198573
0.11400000	0.73640501	0.09870202
0.11500000	0.85380781	0.10959031
0.11600000	0.77340674	0.15043676
0.11700000	0.50953496	0.21527436
0.11800000	0.11285064	0.28251109
0.11900000	-0.35872909	0.34248891
0.12000000	-0.70091045	0.37161663
0.12100000	-0.86549580	0.36555734
0.12200000	-0.81496060	0.33040109
0.12300000	-0.55468750	0.27103838
0.12400000	-0.17845719	0.20687746
0.12500000	0.25851992	0.14751476
0.12600000	0.61054379	0.11251231
0.12700000	0.82418799	0.10706816
0.12800000	0.84221208	0.13327387
0.12900000	0.66307825	0.18719243
0.13000000	0.31935900	0.25147638
0.13100000	-0.13764149	0.31689838
0.13200000	-0.53217274	0.35777560
0.13300000	-0.80819392	0.36807948
0.13400000	-0.86918676	0.34756398
0.13500000	-0.70573944	0.29908955
0.13600000	-0.38145915	0.23788139
0.13700000	0.05739419	0.17307456
0.13800000	0.45346335	0.12638411
0.13900000	0.74760085	0.10457677
0.14000000	0.85805243	0.11611097
0.14100000	0.76787031	0.15911049
0.14200000	0.49766240	0.22047244
0.14300000	0.08913632	0.29136935
0.14400000	-0.33129305	0.34378076
0.14500000	-0.70300198	0.36980191
0.14600000	-0.87260085	0.36687991
0.14700000	-0.81628323	0.33541462
0.14800000	-0.56748277	0.28005046
0.14900000	-0.16074064	0.20918430
0.15000000	0.25599778	0.15074433
0.15100000	0.62097073	0.11318897
0.15200000	0.82431102	0.10749877
0.15300000	0.83461493	0.13475025
0.15400000	0.65191317	0.18423967
0.15500000	0.30508736	0.24843135
0.15600000	-0.11500369	0.30979329
0.15700000	-0.54724407	0.35946727
0.15800000	-0.81053150	0.37410802
0.15900000	-0.86801797	0.35171628
0.16000000	-0.71241385	0.30484128
0.16100000	-0.36432701	0.24003445
0.16200000	0.04376845	0.17898007
0.16300000	0.45171013	0.13112082
0.16400000	0.73655879	0.10768332
0.16500000	0.85457677	0.11189715
0.16600000	0.77106917	0.14969857
0.16700000	0.50055367	0.21512057
0.16800000	0.10383859	0.28235728
0.16900000	-0.36106667	0.34171999
0.17000000	-0.70014149	0.37395424
0.17100000	-0.86534202	0.37453863
0.17200000	-0.81496060	0.33938238
0.17300000	-0.55468750	0.27334523
0.17400000	-0.17845719	0.20610851
0.17500000	0.25851992	0.14736098
0.17600000	0.61054379	0.11251231
0.17700000	0.82418799	0.10706816
0.17800000	0.84221208	0.13327387
0.17900000	0.66307825	0.18719243
0.18000000	0.31935900	0.25132260
0.18100000	-0.13764149	0.31616017
0.18200000	-0.53217274	0.36008242
0.18300000	-0.80819392	0.37706077
0.18400000	-0.86918676	0.35639149
0.18499999	-0.70573944	0.30062747
0.18599999	-0.38145915	0.23945005
0.18699999	0.05739419	0.18193282
0.18799999	0.45346335	0.13536540
0.18899999	0.74760085	0.10688362
0.18999999	0.85805243	0.11552657
0.19099999	0.76787031	0.15972564
0.19199999	0.49766240	0.21816561
0.19299999	0.08913632	0.28238803
0.19399999	-0.33113927	0.33479947
0.19499999	-0.70223302	0.36749509
0.19599999	-0.87493849	0.36764887
0.19699999	-0.82529527	0.33556840
0.19799999	-0.57649481	0.28005046
0.19899999	-0.16304749	0.20918430
0.19999999	0.25676674	0.15074433
0.20099999	0.62112451	0.11318897
0.20199999	0.82415724	0.10749877
0.20299999	0.83384597	0.13475025
0.20399999	0.65421999	0.18423967
0.20499999	0.31406865	0.24843135
0.20599999	-0.10605315	0.30979329
0.20699999	-0.54493725	0.35946727
0.20799999	-0.81130046	0.37410802
0.20899999	-0.86817175	0.35171628
0.20999999	-0.71241385	0.30499509
0.21099999	-0.36432701	0.24080339
0.21199999	0.04376845	0.17667323
0.21299999	0.45171013	0.12213952
0.21399999	0.73655879	0.09870202
0.21499999	0.85457677	0.10959031
0.21599999	0.77106917	0.15043676
0.21699999	0.50055367	0.21527436
0.21799999	0.10383859	0.28235728
0.21899999	-0.36106667	0.34171999
0.21999999	-0.70014149	0.37395424
0.22099999	-0.86534202	0.37453863
0.22199999	-0.81496060	0.33938238
0.22299999	-0.55468750	0.27334523
0.22399999	-0.17845719	0.20610851
0.22499999	0.25851992	0.14736098
0.22599999	0.61054379	0.11251231
0.22699999	0.82418799	0.10706816
0.22799999	0.84221208	0.13327387
0.22899999	0.66307825	0.18719243
0.22999999	0.31935900	0.25132260
0.23099999	-0.13764149	0.31616017
0.23199999	-0.53217274	0.35992864
0.23299999	-0.80819392	0.37629184
0.23399999	-0.86903298	0.35885212
0.23499999	-0.70497048	0.31040847
0.23599999	-0.38361222	0.24612451
0.23699999	0.04915108	0.17525837
0.23799999	0.44214442	0.12576894
0.23899999	0.73631275	0.10516117
0.23999999	0.84984004	0.11380413
0.24099999	0.76571727	0.15012918
0.24199999	0.49843135	0.21149114
0.24299999	0.08929010	0.28903174
0.24399999	-0.33129305	0.34454972
0.24499999	-0.70300198	0.36995572
0.24599999	-0.87260085	0.36687991
0.24699999	-0.81628323	0.33541462
0.24799999	-0.56748277	0.28005046
0.24899999	-0.16074064	0.20918430
0.24999999	0.25599778	0.15074433
0.25099999	0.62097073	0.11318897
0.25199999	0.82431102	0.10749877
0.25299999	0.83461493	0.13475025
0.25399999	0.65191317	0.18423967
0.25499999	0.30508736	0.24843135
0.25599999	-0.11500369	0.30963951
0.25699999	-0.54724407	0.35869834
0.25799999	-0.81053150	0.37644562
0.25899999	-0.86801797	0.36069760
0.25999999	-0.71241385	0.31397638
0.26099999	-0.36432701	0.24311024
0.26199999	0.04376845	0.17590427
0.26299999	0.45171013	0.12198573
0.26399999	0.73655879	0.09870202
0.26499999	0.85457677	0.10959031
0.26599999	0.77106917	0.15043676
0.26699999	0.50055367	0.21527436
0.26799999	0.10383859	0.28235728
0.26899999	-0.36106667	0.34171999
0.26999999	-0.70014149	0.37376967
0.27099999	-0.86534202	0.37376967
0.27199999	-0.81511444	0.34171999
0.27299999	-0.55542570	0.28235728
0.27399999	-0.17615034	0.21512057
0.27499999	0.26750124	0.14969857
0.27599999	0.61952507	0.11174335
0.27699999	0.82649481	0.10691437
0.27799999	0.84144318	0.13327387
0.27899999	0.66292447	0.18719243
0.27999999	0.31935900	0.25132260
0.28099999	-0.13764149	0.31616017
0.28199999	-0.53201896	0.35992864
0.28299999	-0.80742496	0.37629184
0.28399999	-0.87149358	0.35885212
0.28499999	-0.71475148	0.31040847
0.28599999	-0.39044046	0.24612451
0.28699999	0.05505659	0.17525837
0.28799999	0.45423228	0.12561515
0.28899999	0.74775469	0.10442298
0.28999999	0.85805243	0.11611097
0.29099999	0.76787031	0.15911049
0.29199999	0.49766240	0.22047244
0.29299999	0.08913632	0.29136935
0.29399999	-0.33129305	0.34378076
0.29499999	-0.70300198	0.36980191
