Time	Channel A	Channel B
(us)	(V)	(V)

-0.00400000	0.21755044	0.35946727
-0.00300000	0.59344244	0.30979329
-0.00200000	0.81096208	0.24843135
-0.00100000	0.83575296	0.18423967
0.00000000	0.67368972	0.13475025
0.00100000	0.35113189	0.10749877
0.00200000	-0.06606791	0.11318897
0.00300000	-0.51707059	0.15074433
0.00400000	-0.79807454	0.20918430
0.00500000	-0.87007874	0.28005046
0.00600000	-0.73169905	0.33556840
0.00700000	-0.40059054	0.36764887
0.00800000	0.00150714	0.36749509
0.00900000	0.41486222	0.33479947
0.01000000	0.71432084	0.28238803
0.01100000	0.85414618	0.21816561
0.01200000	0.79100025	0.15987943
0.01300000	0.53620201	0.11626476
0.01400000	0.14828371	0.10442298
0.01500000	-0.31597564	0.12561515
0.01600000	-0.66661543	0.17525837
0.01700000	-0.85362327	0.24612451
0.01800000	-0.82683319	0.31040847
0.01900000	-0.58895177	0.35885212
0.02000000	-0.22139518	0.37629184
0.02100000	0.22231792	0.35992864
0.02200000	0.58633733	0.31616017
0.02300000	0.81634474	0.25132260
0.02400000	0.84836370	0.18719243
0.02500000	0.67771900	0.13327387
0.02600000	0.34879428	0.10706816
0.02700000	-0.08882874	0.11251231
0.02800000	-0.48582062	0.14751476
0.02900000	-0.78487945	0.20687746
0.03000000	-0.87269318	0.27103838
0.03100000	-0.73708171	0.33040109
0.03200000	-0.42728838	0.36555734
0.03300000	0.01276452	0.37161663
0.03400000	0.41778421	0.34248891
0.03500000	0.72766978	0.28251109
0.03600000	0.85832924	0.21527436
0.03700000	0.78933930	0.15043676
0.03800000	0.53669417	0.10959031
0.03900000	0.13964075	0.09870202
0.04000000	-0.28355685	0.12213952
0.04100000	-0.67159820	0.17667323
0.04200000	-0.86481917	0.24080339
0.04300000	-0.83633733	0.30499509
0.04400000	-0.60479206	0.35153174
0.04500000	-0.20164862	0.37333909
0.04600000	0.21524361	0.36180487
0.04700000	0.58443034	0.31880537
0.04800000	0.80195004	0.25744340
0.04900000	0.83341533	0.18654650
0.05000000	0.67442793	0.13398130
0.05100000	0.35128567	0.10734498
0.05200000	-0.06588337	0.11318897
0.05300000	-0.51630169	0.15074433
0.05400000	-0.80022758	0.20918430
0.05500000	-0.87829107	0.28005046
0.05600000	-0.74301797	0.33541462
0.05700000	-0.41190946	0.36687991
0.05800000	-0.00658219	0.36980191
0.05900000	0.41344735	0.34378076
0.06000000	0.71278298	0.29136935
0.06100000	0.84534943	0.22047244
0.06200000	0.78201896	0.15911049
0.06300000	0.53389519	0.11611097
0.06400000	0.14920644	0.10442298
0.06500000	-0.31505290	0.12561515
0.06600000	-0.66892225	0.17541215
0.06700000	-0.86263531	0.24689345
0.06800000	-0.83584523	0.30810162
0.06900000	-0.59128934	0.34990159
0.07000000	-0.22047244	0.36731052
0.07100000	0.22320989	0.35762179
0.07200000	0.58387673	0.31689838
0.07300000	0.80656374	0.25147638
0.07400000	0.84184301	0.18719243
0.07500000	0.68513167	0.13327387
0.07600000	0.35636073	0.10706816
0.07700000	-0.09458046	0.11251231
0.07800000	-0.49790847	0.14736098
0.07900000	-0.79632133	0.20610851
0.08000000	-0.88090551	0.27334523
0.08100000	-0.73923475	0.33938238
0.08200000	-0.42636564	0.37453863
0.08300000	0.01368725	0.37395424
0.08400000	0.41544661	0.34171999
0.08500000	0.71868849	0.28235728
0.08600000	0.84931719	0.21512057
0.08700000	0.78700173	0.14969857
0.08800000	0.53746307	0.11189715
0.08900000	0.13979454	0.10768332
0.09000000	-0.28371063	0.13096702
0.09100000	-0.67236710	0.17821112
0.09200000	-0.86248153	0.24234129
0.09300000	-0.82732528	0.31382260
0.09400000	-0.59593379	0.36069760
0.09500000	-0.20007996	0.37644562
0.09600000	0.21662770	0.35869834
0.09700000	0.59251970	0.30963951
0.09800000	0.81342274	0.24843135
0.09900000	0.84550321	0.18423967
0.10000000	0.68036419	0.13475025
0.10100000	0.34445742	0.10749877
0.10200000	-0.07581816	0.11318897
0.10300000	-0.51953125	0.15074433
0.10400000	-0.79715180	0.20918430
0.10500000	-0.86915600	0.28005046
0.10600000	-0.73403668	0.33556840
0.10700000	-0.40960261	0.36764887
0.10800000	-0.00750492	0.36749509
0.10900000	0.41255537	0.33479947
0.11000000	0.71508980	0.28238803
0.11100000	0.85429996	0.21816561
0.11200000	0.79100025	0.15987943
0.11300000	0.53620201	0.11626476
0.11400000	0.14843750	0.10442298
0.11500000	-0.31520671	0.12561515
0.11600000	-0.66892225	0.17525837
0.11700000	-0.86263531	0.24612451
0.11800000	-0.83569145	0.31040847
0.11900000	-0.59052044	0.35885212
0.12000000	-0.22277927	0.37644562
0.12100000	0.21422859	0.36069760
0.12200000	0.57486469	0.31382260
0.12300000	0.80425692	0.24234129
0.12400000	0.84261197	0.17821112
0.12500000	0.68528545	0.13096702
0.12600000	0.35620692	0.10783710
0.12700000	-0.09534941	0.11266609
0.12800000	-0.49560162	0.14751476
0.12900000	-0.78734004	0.20687746
0.13000000	-0.87192422	0.27103838
0.13100000	-0.73692793	0.33040109
0.13200000	-0.42728838	0.36555734
0.13300000	0.01276452	0.37161663
0.13400000	0.41793799	0.34233513
0.13500000	0.72843874	0.28174213
0.13600000	0.85599160	0.21758120
0.13700000	0.78032726	0.15944882
0.13800000	0.52768207	0.11860237
0.13900000	0.13733390	0.10100885
0.14000000	-0.28278789	0.12137057
0.14100000	-0.67144442	0.17651944
0.14200000	-0.86481917	0.24080339
0.14300000	-0.83633733	0.30499509
0.14400000	-0.60494584	0.35171628
0.14500000	-0.20241757	0.37410802
0.14600000	0.21739665	0.35946727
0.14700000	0.59267348	0.30979329
0.14800000	0.81326896	0.24843135
0.14900000	0.84473425	0.18423967
0.15000000	0.68267101	0.13475025
0.15100000	0.35343874	0.10749877
0.15200000	-0.06665231	0.11318897
0.15300000	-0.51645547	0.15074433
0.15400000	-0.80038142	0.20903051
0.15500000	-0.87906003	0.27928150
0.15600000	-0.74071109	0.33772147
0.15700000	-0.40289739	0.37589198
0.15800000	0.00239911	0.37881398
0.15900000	0.41578493	0.34608760
0.16000000	0.71201402	0.29060039
0.16100000	0.84519559	0.22031865
0.16200000	0.78201896	0.15911049
0.16300000	0.53389519	0.11611097
0.16400000	0.14920644	0.10457677
0.16500000	-0.31505290	0.12638411
0.16600000	-0.66892225	0.17292076
0.16700000	-0.86263531	0.23711245
0.16800000	-0.83569145	0.30139640
0.16900000	-0.59052044	0.35654527
0.17000000	-0.22293307	0.37706077
0.17100000	0.21345964	0.36008242
0.17200000	0.57720226	0.31616017
0.17300000	0.81323820	0.25132260
0.17400000	0.85162401	0.18719243
0.17500000	0.68759227	0.13327387
0.17600000	0.35543799	0.10691437
0.17700000	-0.09550320	0.11174335
0.17800000	-0.49560162	0.14969857
0.17900000	-0.78734004	0.21512057
0.18000000	-0.87177044	0.28235728
0.18100000	-0.73615897	0.34171999
0.18200000	-0.42944142	0.37376967
0.18300000	0.00455217	0.37376967
0.18400000	0.40649605	0.34171999
0.18499999	0.71635085	0.28235728
0.18599999	0.85023993	0.21512057
0.18699999	0.78792447	0.14969857
0.18799999	0.53512549	0.11189715
0.18899999	0.13081324	0.10768332
0.18999999	-0.29272267	0.13112082
0.19099999	-0.67470473	0.17898007
0.19199999	-0.86155879	0.24003445
0.19299999	-0.82640254	0.30484128
0.19399999	-0.59808683	0.35171628
0.19499999	-0.20829232	0.37410802
0.19599999	0.20533957	0.35946727
0.19699999	0.58120078	0.30979329
0.19799999	0.80505657	0.24843135
0.19899999	0.84258121	0.18423967
0.19999999	0.68343997	0.13475025
0.20099999	0.35359251	0.10749877
0.20199999	-0.06680610	0.11318897
0.20299999	-0.51722443	0.15074433
0.20399999	-0.79792076	0.20918430
0.20499999	-0.86930978	0.28005046
0.20599999	-0.73403668	0.33541462
0.20699999	-0.40960261	0.36687991
0.20799999	-0.00750492	0.36980191
0.20899999	0.41255537	0.34378076
0.20999999	0.71508980	0.29136935
0.21099999	0.85429996	0.22047244
0.21199999	0.79100025	0.15911049
0.21299999	0.53620201	0.11611097
0.21399999	0.14843750	0.10442298
0.21499999	-0.31520671	0.12561515
0.21599999	-0.66892225	0.17541215
0.21699999	-0.86263531	0.24689345
0.21799999	-0.83569145	0.30810162
0.21899999	-0.59052044	0.34990159
0.21999999	-0.22293307	0.36731052
0.22099999	0.21345964	0.35762179
0.22199999	0.57735604	0.31689838
0.22299999	0.81400710	0.25147638
0.22399999	0.84928644	0.18719243
0.22499999	0.67861098	0.13327387
0.22599999	0.34648746	0.10706816
0.22699999	-0.09781004	0.11251231
0.22799999	-0.49483266	0.14736098
0.22899999	-0.78718626	0.20610851
0.22999999	-0.87177044	0.27334523
0.23099999	-0.73615897	0.33938238
0.23199999	-0.42959523	0.37453863
0.23299999	0.00378322	0.37395424
0.23399999	0.40880290	0.34171999
0.23499999	0.72536296	0.28235728
0.23599999	0.85909820	0.21527436
0.23699999	0.78949308	0.15043676
0.23799999	0.53669417	0.10959031
0.23899999	0.13964075	0.09870202
0.23999999	-0.28355685	0.12213952
0.24099999	-0.67159820	0.17667323
0.24199999	-0.86481917	0.24080339
0.24299999	-0.83633733	0.30499509
0.24399999	-0.60479206	0.35153174
0.24499999	-0.20164862	0.37333909
0.24599999	0.21508981	0.36180487
0.24699999	0.58366144	0.31880537
0.24799999	0.80428767	0.25744340
0.24899999	0.84242743	0.18654650
0.24999999	0.68328619	0.13398130
0.25099999	0.35285434	0.10734498
0.25199999	-0.06434547	0.11318897
0.25299999	-0.50747418	0.15074433
0.25399999	-0.79140007	0.20918430
0.25499999	-0.87675321	0.28005046
0.25599999	-0.74148005	0.33556840
0.25699999	-0.40305117	0.36764887
0.25799999	0.00239911	0.36749509
0.25899999	0.41578493	0.33479947
0.25999999	0.71186024	0.28238803
0.26099999	0.84442669	0.21816561
0.26199999	0.78435653	0.15987943
0.26299999	0.54287648	0.11626476
0.26399999	0.15821850	0.10442298
0.26499999	-0.31274605	0.12561515
0.26599999	-0.66969121	0.17525837
0.26699999	-0.86278909	0.24612451
0.26799999	-0.83584523	0.31040847
0.26899999	-0.59128934	0.35885212
0.26999999	-0.22047244	0.37629184
0.27099999	0.22320989	0.35992864
0.27199999	0.58387673	0.31616017
0.27299999	0.80656374	0.25132260
0.27399999	0.84184301	0.18719243
0.27499999	0.68513167	0.13327387
0.27599999	0.35620692	0.10706816
0.27699999	-0.09534941	0.11251231
0.27799999	-0.49560162	0.14751476
0.27899999	-0.78734004	0.20687746
0.27999999	-0.87177044	0.27103838
0.28099999	-0.73615897	0.33040109
0.28199999	-0.42959523	0.36555734
0.28299999	0.00378322	0.37161663
0.28399999	0.40895668	0.34248891
0.28499999	0.72613192	0.28251109
0.28599999	0.85676056	0.21512057
0.28699999	0.78048104	0.14969857
0.28799999	0.52768207	0.11189715
0.28899999	0.13733390	0.10768332
0.28999999	-0.28294167	0.13112082
0.29099999	-0.67221332	0.17898007
0.29199999	-0.86248153	0.24003445
0.29299999	-0.82732528	0.30484128
0.29399999	-0.59593379	0.35171628
0.29499999	-0.20007996	0.37410802
